abundance,多量,たりょう,
Half-life,半減期,はんげんき,
Hallucination,幻覚,げんかく,
harmonic analysis,調和分析,ちょうわぶんせき,
heat balance,熱平衡,ねつへいこう,
heat radiation,熱放散,ねつほうさん,
hyperactivity,多動性,たどうせい,
hypoventilation,喚気低下,かんきていか,
Illusion,錯覚,さっかく,
immobilization,不動化,ふどうか,
implantation,埋め込み,うめこみ,
inactivity,無活動,むかつどう,
incomplete,不完全,ふかんぜん,
incremental response,増加性応答,ぞうかせいおうとう,
inhalation,吸入,きゅうにゅう,
injection,注射,ちゅうしゃ,
input,入力,にゅうりょく,
instinct,本能,ほんのう,
integration,統合,とうごう,
interference,干渉,かんしょう,
inverse problem,逆問題,ぎゃくもんだい,
involuntary movement,不随意運動,ふずいいうんどう,
irrefular,不規則性,ふきそくせい,
isolated,独立性,どくりつせい,
itching,かゆみ感,かゆみかん,
kinetic,速度論,そくどろん,
latency,潜時,せんじ,
localization,局在,きょくざい,
magnetic field gradient,磁界勾配,じかいこうばい,
making efficinet(optimization),効率化,こうりつか,
maze learning,迷路学習,めいろがくしゅう,
memory storage,記憶装置,きおくそうち,
motivation,動機づけ,どうきづけ,
Mutation(unexpec+variation),突然変異,とつぜんへんい,
negative symptom,陰性症状,いんせいしょうじょう,
nerve growth factor,神経成長因子,しんけいせいちょういんし,
numbness,しびれ感,しびれかん,
obvious,明白,めいはく,
omen,前兆,ぜんちょう,
omen,前兆,ぜんちょう,
one's assessment of the situation ,状況判断,じょうきょうはんだん,
organizat(ion),組織化,そしきか,
outflow,流出,りゅうしゅつ,
output,出力,しゅつりょく,
outward current,外向き電流,そとむきでんりゅう,
overload,過負荷,かふか,
pain,痛覚,つうかく,
peak,頂点,ちょうてん,
periodic,周期性,しゅうきせい,
Phase ,位相,いそう,
phenomenon,現象,げんしょう,
phenotype,表現型,ひょうげんけい,
photon,光子,こうし,
Physiology,生理学,せいりがく,
polymorphic,多形性,おおけいせい,
positive wave,陽性波,ようせいは,
posture,姿勢,しせい,
potential(voltage),電位,でんい,
projection,投射,とうしゃ,
propagation,伝播,でんぱ,
provoked reaction,誘発反応,ゆうはつはんのう,
quantal release,量子的放出,りょうしてきほうしゅつ,
random,ランダム,らんだむ,
reaction,反応,はんのう,
readiness potential,準備電位,じゅんびでんい,
recombination,組み換え,くみかえ,
reconstruction,再構成,さいこうせい,
Reflection ,反射,はんしゃ,
reflex,反射,はんしゃ,
refractory(unresponse state),不応状態,ふおうじょうたい,
regeneration,再生,さいせい,
resistance,抵抗,ていこう,
response confirmation ,応答確認,おうとうかくにん,
rhythm,律動,りつどう,
rhythm,律動,りつどう,
run,走行,そうこう,
Saturation,飽和,ほうわ,
scattering,散乱,さんらん,
secondary,二次的,にじてき,
sensation,感覚,かんかく,
sensitivity,感度,かんど,
simultaneous,同時性,どうじせい,
Sleep,睡眠,すいみん,
smoothing,平滑化,へいかつか,
source,発生源,はっせいげん,
stabilization,安定化,あんていか,
Steady state,定常状態,ていじょうじょうたい,
stillness,静止,せいし,
stillness,静止,せいし,
stimulator,刺激装置,しげきそうち,
suppression,抑圧,よくあつ,
surface,表面,ひょうめん,
symmetry,対称性,たいしょうせい,
syndrom,症候群,しょうこうぐん,
tactile sensation,触覚,しょっかく,
task,課題,かだい,
tension,張力,ちょうりょく,
test,試験,しけん,
Theoretical physics,理論物理学,りろんぶつりがく,
threshold ,閾値,いきち,
transfrmation,変換,へんかん,
transmission,通過,つうか,
transportation,輸送,ゆそう,
variant,変種,へいしゅ,
variant,異型,いけい,
visibility,視感度,しかんど,
voltage(electr+pressure),電圧,でんあつ,
writer(device),記録器,きろくき,
